user_type,original_support_team,query,matching_team,recommend_league,sbert_score,n2v_score,vector_score,match_score,llm_confidence,llm_rank,llm_reason
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.44859162,0.5,0.924607589386269,0.5644,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.35467786,0.5724481344223022,0.867585580547885,0.5444,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레드불,F1,0.38981757,0.5,0.869819254343648,0.5299,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,윌리엄스,F1,0.37647063,0.4280096590518951,0.940160426099116,0.5098,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,메르세데스,F1,0.32925016,0.5,0.8813761980547393,0.508,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,하스,F1,0.38589042,0.4020318686962127,0.923812992867432,0.4999,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,알핀,F1,0.28984505,0.5,0.9093003387305426,0.4978,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,자우버,F1,0.3634381,0.3884692192077636,0.8822722818574583,0.4772,0.0,0,분석 실패 또는 신뢰도 낮음
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.3577677,0.9947986006736756,0.9197905115027536,0.725,0.85,1,애스턴 마틴은 뉴캐슬 유나이티드와 같이 과거의 명성을 되살리기 위해 노력하는 팀입니다.
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.3535738,0.5,0.9354280984956792,0.5285,0.75,2,맥라렌은 기술적 우위를 바탕으로 여러 차례 챔피언십을 휩니다.
